Region,can this love be translated
Nagaland,100
Manipur,57
Mizoram,51
Sikkim,36
Arunachal Pradesh,34
Meghalaya,27
Tripura,19
Karnataka,13
Delhi,12
Assam,12
Telangana,11
Tamil Nadu,11
Kerala,11
Andhra Pradesh,11
Odisha,10
Goa,10
Maharashtra,10
Uttarakhand,9
West Bengal,9
Jharkhand,9
Haryana,8
Himachal Pradesh,8
Gujarat,8
Punjab,8
Chhattisgarh,8
Uttar Pradesh,7
Bihar,6
Jammu and Kashmir,6
Rajasthan,6
Madhya Pradesh,5
Chandigarh,5
Puducherry,1
Lakshadweep,
Dadra and Nagar Haveli,
Daman and Diu,
Andaman and Nicobar Islands,
