Week,can this love be translated: (India)
23-02-2025,0
02-03-2025,0
09-03-2025,0
16-03-2025,0
23-03-2025,0
30-03-2025,0
06-04-2025,0
13-04-2025,0
20-04-2025,0
27-04-2025,1
04-05-2025,1
11-05-2025,0
18-05-2025,1
25-05-2025,0
01-06-2025,0
08-06-2025,0
15-06-2025,0
22-06-2025,0
29-06-2025,1
06-07-2025,0
13-07-2025,0
20-07-2025,0
27-07-2025,0
03-08-2025,0
10-08-2025,0
17-08-2025,0
24-08-2025,0
31-08-2025,0
07-09-2025,0
14-09-2025,0
21-09-2025,0
28-09-2025,0
05-10-2025,0
12-10-2025,0
19-10-2025,0
26-10-2025,0
02-11-2025,0
09-11-2025,0
16-11-2025,1
23-11-2025,0
30-11-2025,0
07-12-2025,1
14-12-2025,4
21-12-2025,2
28-12-2025,2
04-01-2026,4
11-01-2026,42
18-01-2026,100
25-01-2026,56
01-02-2026,31
08-02-2026,18
15-02-2026,15
22-02-2026,12
